Count,Time
501304,2025-04-08 0:20:00
500578,2025-04-08 0:25:00
500203,2025-04-08 0:30:00
498798,2025-04-08 0:35:00
497566,2025-04-08 0:40:00
496605,2025-04-08 0:45:00
496004,2025-04-08 0:50:00
494824,2025-04-08 0:55:00
493311,2025-04-08 1:00:00
488461,2025-04-08 1:05:00
486691,2025-04-08 1:10:00
484343,2025-04-08 1:15:00
482786,2025-04-08 1:20:00
480188,2025-04-08 1:25:00
478397,2025-04-08 1:30:00
475787,2025-04-08 1:35:00
474244,2025-04-08 1:40:00
471945,2025-04-08 1:45:00
470235,2025-04-08 1:50:00
465964,2025-04-08 1:55:00
462826,2025-04-08 2:00:00
457444,2025-04-08 2:05:00
455551,2025-04-08 2:10:00
450478,2025-04-08 2:15:00
449255,2025-04-08 2:20:00
445674,2025-04-08 2:25:00
444055,2025-04-08 2:30:00
440146,2025-04-08 2:35:00
436845,2025-04-08 2:40:00
433404,2025-04-08 2:45:00
432121,2025-04-08 2:50:00
426042,2025-04-08 2:55:00
421748,2025-04-08 3:00:00
416894,2025-04-08 3:05:00
412441,2025-04-08 3:10:00
410042,2025-04-08 3:15:00
407358,2025-04-08 3:20:00
406113,2025-04-08 3:25:00
403602,2025-04-08 3:30:00
401664,2025-04-08 3:35:00
400017,2025-04-08 3:40:00
399500,2025-04-08 3:45:00
399718,2025-04-08 3:50:00
398921,2025-04-08 3:55:00
396654,2025-04-08 4:00:00
394412,2025-04-08 4:05:00
392761,2025-04-08 4:10:00
391226,2025-04-08 4:15:00
390117,2025-04-08 4:20:00
388416,2025-04-08 4:25:00
387343,2025-04-08 4:30:00
385600,2025-04-08 4:35:00
383881,2025-04-08 4:40:00
384209,2025-04-08 4:45:00
383444,2025-04-08 4:50:00
382759,2025-04-08 4:55:00
381242,2025-04-08 5:00:00
379172,2025-04-08 5:05:00
379902,2025-04-08 5:10:00
381026,2025-04-08 5:15:00
381538,2025-04-08 5:20:00
382572,2025-04-08 5:25:00
381826,2025-04-08 5:30:00
380722,2025-04-08 5:35:00
381849,2025-04-08 5:40:00
381512,2025-04-08 5:45:00
380920,2025-04-08 5:50:00
379748,2025-04-08 5:55:00
376675,2025-04-08 6:00:00
374130,2025-04-08 6:05:00
373159,2025-04-08 6:10:00
372846,2025-04-08 6:15:00
372962,2025-04-08 6:20:00
372459,2025-04-08 6:25:00
370508,2025-04-08 6:30:00
370090,2025-04-08 6:35:00
370257,2025-04-08 6:40:00
370558,2025-04-08 6:45:00
370592,2025-04-08 6:50:00
370876,2025-04-08 6:55:00
369210,2025-04-08 7:00:00
369221,2025-04-08 7:05:00
369702,2025-04-08 7:10:00
370678,2025-04-08 7:15:00
371562,2025-04-08 7:20:00
371052,2025-04-08 7:25:00
370938,2025-04-08 7:30:00
370349,2025-04-08 7:35:00
371167,2025-04-08 7:40:00
370640,2025-04-08 7:45:00
371480,2025-04-08 7:50:00
371250,2025-04-08 7:55:00
370267,2025-04-08 8:00:00
369499,2025-04-08 8:05:00
370882,2025-04-08 8:10:00
371340,2025-04-08 8:15:00
371387,2025-04-08 8:20:00
371822,2025-04-08 8:25:00
371075,2025-04-08 8:30:00
371343,2025-04-08 8:35:00
372535,2025-04-08 8:40:00
372473,2025-04-08 8:45:00
374672,2025-04-08 8:50:00
375011,2025-04-08 8:55:00
374559,2025-04-08 9:00:00
374522,2025-04-08 9:05:00
376321,2025-04-08 9:10:00
378311,2025-04-08 9:15:00
381649,2025-04-08 9:20:00
383575,2025-04-08 9:25:00
386417,2025-04-08 9:30:00
389136,2025-04-08 9:35:00
394040,2025-04-08 9:40:00
396937,2025-04-08 9:45:00
401820,2025-04-08 9:50:00
404225,2025-04-08 9:55:00
407544,2025-04-08 10:00:00
409256,2025-04-08 10:05:00
413683,2025-04-08 10:10:00
414479,2025-04-08 10:15:00
419900,2025-04-08 10:20:00
422750,2025-04-08 10:25:00
425522,2025-04-08 10:30:00
427606,2025-04-08 10:35:00
431218,2025-04-08 10:40:00
433054,2025-04-08 10:45:00
435682,2025-04-08 10:50:00
436852,2025-04-08 10:55:00
437823,2025-04-08 11:00:00
439542,2025-04-08 11:05:00
442940,2025-04-08 11:10:00
444967,2025-04-08 11:15:00
448263,2025-04-08 11:20:00
450887,2025-04-08 11:25:00
454553,2025-04-08 11:30:00
456105,2025-04-08 11:35:00
460128,2025-04-08 11:40:00
462235,2025-04-08 11:45:00
467087,2025-04-08 11:50:00
469065,2025-04-08 11:55:00
472036,2025-04-08 12:00:00
476433,2025-04-08 12:05:00
481765,2025-04-08 12:10:00
486560,2025-04-08 12:15:00
494154,2025-04-08 12:20:00
498420,2025-04-08 12:25:00
505000,2025-04-08 12:30:00
508923,2025-04-08 12:35:00
516667,2025-04-08 12:40:00
520826,2025-04-08 12:45:00
524273,2025-04-08 12:50:00
527616,2025-04-08 12:55:00
530466,2025-04-08 13:00:00
532573,2025-04-08 13:05:00
537849,2025-04-08 13:10:00
541052,2025-04-08 13:15:00
544947,2025-04-08 13:20:00
546147,2025-04-08 13:25:00
548302,2025-04-08 13:30:00
548470,2025-04-08 13:35:00
549761,2025-04-08 13:40:00
549811,2025-04-08 13:45:00
548250,2025-04-08 13:50:00
547126,2025-04-08 13:55:00
544127,2025-04-08 14:00:00
540392,2025-04-08 14:05:00
537212,2025-04-08 14:10:00
535941,2025-04-08 14:15:00
533008,2025-04-08 14:20:00
530656,2025-04-08 14:25:00
527254,2025-04-08 14:30:00
523685,2025-04-08 14:35:00
520077,2025-04-08 14:40:00
517735,2025-04-08 14:45:00
513688,2025-04-08 14:50:00
510710,2025-04-08 14:55:00
505305,2025-04-08 15:00:00
501705,2025-04-08 15:05:00
498227,2025-04-08 15:10:00
496099,2025-04-08 15:15:00
493358,2025-04-08 15:20:00
489893,2025-04-08 15:30:00
488290,2025-04-08 15:35:00
486292,2025-04-08 15:40:00
485144,2025-04-08 15:45:00
483385,2025-04-08 15:50:00
482379,2025-04-08 15:55:00
480435,2025-04-08 16:00:00
478934,2025-04-08 16:05:00
478540,2025-04-08 16:10:00
478613,2025-04-08 16:15:00
478735,2025-04-08 16:20:00
478163,2025-04-08 16:25:00
478496,2025-04-08 16:30:00
478528,2025-04-08 16:35:00
479227,2025-04-08 16:40:00
479754,2025-04-08 16:45:00
479061,2025-04-08 16:50:00
478059,2025-04-08 16:55:00
476582,2025-04-08 17:00:00
474858,2025-04-08 17:05:00
473750,2025-04-08 17:10:00
472421,2025-04-08 17:15:00
470505,2025-04-08 17:20:00
469962,2025-04-08 17:25:00
468225,2025-04-08 17:30:00
465869,2025-04-08 17:35:00
464176,2025-04-08 17:40:00
462172,2025-04-08 17:45:00
458357,2025-04-08 17:50:00
456432,2025-04-08 17:55:00
451610,2025-04-08 18:00:00
447111,2025-04-08 18:05:00
442989,2025-04-08 18:10:00
440721,2025-04-08 18:15:00
435835,2025-04-08 18:20:00
433932,2025-04-08 18:25:00
429877,2025-04-08 18:30:00
426541,2025-04-08 18:35:00
423334,2025-04-08 18:40:00
418435,2025-04-08 18:45:00
415410,2025-04-08 18:50:00
411167,2025-04-08 18:55:00
405614,2025-04-08 19:00:00
401024,2025-04-08 19:05:00
397962,2025-04-08 19:10:00
394847,2025-04-08 19:15:00
392744,2025-04-08 19:20:00
390574,2025-04-08 19:25:00
389080,2025-04-08 19:30:00
387635,2025-04-08 19:35:00
386947,2025-04-08 19:40:00
386765,2025-04-08 19:45:00
385507,2025-04-08 19:50:00
385514,
386098,
385586,
385519,
386850,